,full_name,annual_salary,,
,"Ryan Bennett
DEFENDER","£1,040,000.00",,
,"Ryan Bertrand
DEFENDER","£3,640,000.00",,
,"Ryan Fredericks
MIDFIELDER","£2,080,000.00",,
,"Ryan Schofield
GOALKEEPER","£26,000.00",,
,"Ryan Sessegnon
MIDFIELDER","£416,000.00",,
,"Ryan Shawcross
DEFENDER","£2,860,000.00",,
,"Sadio Mane
FORWARD","£5,200,000.00",,
,"Saido Berahino
FORWARD","£4,160,000.00",,
,"Sam Byram (on loan from )
DEFENDER","£1,560,000.00",,
,"Sam Gallagher
FORWARD","£2,080,000.00",,
,"Sam Hughes
DEFENDER","£46,800.00",,
,"Sam Vokes
FORWARD","£884,000.00",,
,"Scott Dann
DEFENDER","£3,120,000.00",,
,"Scott McTominay
MIDFIELDER","£520,000.00",,
,"Sead Kolasinac
DEFENDER","£5,200,000.00",,
,"Seamus Coleman
DEFENDER","£3,640,000.00",,
,"Sean Longstaff
MIDFIELDER","£36,000.00",,
,"Sean Morrison
DEFENDER","£1,300,000.00",,
,"Sebastian Prodl
DEFENDER","£2,340,000.00",,
,"Serge Aurier
DEFENDER","£3,640,000.00",,
,"Sergio Aguero
FORWARD","£11,440,000.00",,
,"Sergio Rico
GOALKEEPER","£2,340,000.00",,
,"Sergio Romero
GOALKEEPER","£3,640,000.00",,
,"Shane Duffy
DEFENDER","£2,080,000.00",,
,"Shane Long
FORWARD","£3,210,000.00",,
,"Shinji Okazaki
FORWARD","£1,820,000.00",,
,"Shkodran Mustafi
DEFENDER","£4,680,000.00",,
,"Simon Mignolet
GOALKEEPER","£2,860,000.00",,
,"Sokratis Papastathopoulos
DEFENDER","£4,784,000.00",,
,"Sol Bamba
DEFENDER","£728,000.00",,
,"Solly March
MIDFIELDER","£1,560,000.00",,
,"Soufyan Ahannach
FORWARD","£520,000.00",,
,"Stefan Johansen
MIDFIELDER","£520,000.00",,
,"Stefano Okaka
FORWARD","£1,820,000.00",,
,"Stephan Lichtsteiner
DEFENDER","£3,900,000.00",,
,"Stephen Ward
DEFENDER","£1,456,000.00",,
,"Steve Cook
DEFENDER","£2,340,000.00",,
,"Steve Mounie
FORWARD","£1,820,000.00",,
,"Steven Davis
MIDFIELDER","£3,120,000.00",,
,"Steven Defour
MIDFIELDER","£2,340,000.00",,
,"Stuart Armstrong
MIDFIELDER","£2,600,000.00",,
,"Sullay Kaikai
MIDFIELDER","£156,000.00",,
,"Teemu Pukki
FORWARD","£416,000.00",,
,"Terence Kongolo
DEFENDER","£1,820,000.00",,
,"Theo Walcott
FORWARD","£4,550,000.00",,
,"Thibaud Verlinden
MIDFIELDER","£260,000.00",,
,"Tim Ream
DEFENDER","£1,404,000.00",,
,"Timothy Fosu-Mensah 
DEFENDER","£780,000.00",,
,"Todd Kane (on loan from )
DEFENDER","£468,000.00",,
,"Tom Cairney
MIDFIELDER","£2,080,000.00",,
,"Tom Cleverley
MIDFIELDER","£2,600,000.00",,
,"Tom Davies
MIDFIELDER","£1,300,000.00",,
,"Tom Heaton
GOALKEEPER","£2,200,000.00",,
,"Tommy Smith
DEFENDER","£1,040,000.00",,
,"Tosin Adarabioyo (on loan from )
DEFENDER","£1,560,000.00",,
,"Tren Alexander-Arnold
DEFENDER","£624,000.00",,
,"Troy Deeney
FORWARD","£3,380,000.00",,
,"Tyias Browning
DEFENDER","£416,000.00",,
,"Vicente Guaita
GOALKEEPER","£3,120,000.00",,
,"Vicente Iborra
MIDFIELDER","£2,860,000.00",,
,"Victor Camarasa
MIDFIELDER","£840,000.00",,
,"Victor Lindelof
DEFENDER","£6,240,000.00",,
,"Victor Moses
DEFENDER","£3,900,000.00",,
,"Victor Wanyama
MIDFIELDER","£3,380,000.00",,
,"Vincent Janssen
FORWARD","£1,768,000.00",,
,"Vincent Kompany
DEFENDER","£7,800,000.00",,
,"Virgil Van Dijk
DEFENDER","£8,580,000.00",,
,"Wallace Oliveira
DEFENDER","£520,000.00",,
,"Wayne Hennessey
GOALKEEPER","£2,080,000.00",,
,"Wes Morgan
DEFENDER","£3,120,000.00",,
,"Wesley Hoedt
DEFENDER","£3,120,000.00",,
,"Wilfried Bony
FORWARD","£4,680,000.00",,
,"Wilfried Zaha
FORWARD","£6,760,000.00",,
,"Will Hughes
MIDFIELDER","£1,560,000.00",,
,"Will Norris
GOALKEEPER","£156,000.00",,
,"Willian da Silva
MIDFIELDER","£6,240,000.00",,
,"Willy Boly
DEFENDER","£2,080,000.00",,
,"Willy Caballero
GOALKEEPER","£2,080,000.00",,
,"Winston Reid
DEFENDER","£3,640,000.00",,
,"Xherdan Shaqiri
MIDFIELDER","£4,160,000.00",,
,"Yerry Mina
DEFENDER","£6,240,000.00",,
,"Yohan Benalouane
DEFENDER","£2,080,000.00",,
,"Yoshinori Muto
FORWARD","£2,808,000.00",,
,"Younes Kaboul
DEFENDER","£1,820,000.00",,
,"Yuning Zhang
FORWARD","£1,612,000.00",,
,"Yves Bissouma
MIDFIELDER","£1,300,000.00",,
