,full_name,annual_salary,,
,"Christian Benteke
FORWARD","£6,240,000.00",,
,"Christian Eriksen
MIDFIELDER","£3,900,000.00",,
,"Christian Fuchs
DEFENDER","£2,600,000.00",,
,"Christian Kabasele
DEFENDER","£1,560,000.00",,
,"Christian Pulisic
FORWARD","£7,562,500.00",,
,"Christopher Schindler
DEFENDER","£1,300,000.00",,
,"Ciaran Clark
DEFENDER","£1,820,000.00",,
,"Claudio Bravo
GOALKEEPER","£4,160,000.00",,
,"Claudio Yacob
MIDFIELDER","£3,120,000.00",,
,"Collin Quaner
FORWARD","£832,000.00",,
,"Connor Wickham
FORWARD","£3,120,000.00",,
,"Conor Coady
DEFENDER","£780,000.00",,
,"Craig Cathcart
DEFENDER","£1,200,000.00",,
,"Craig Dawson
DEFENDER","£2,080,000.00",,
,"Cyrus Christie
DEFENDER","£1,040,000.00",,
,"Dale Stephens
MIDFIELDER","£1,560,000.00",,
,"Dan Agyei
FORWARD","£36,400.00",,
,"Daniel Amartey
MIDFIELDER","£1,092,000.00",,
,"Daniel Sturridge
FORWARD","£6,760,000.00",,
,"Daniel Williams
MIDFIELDER","£1,560,000.00",,
,"Danilo Luiz da Silva
DEFENDER","£4,160,000.00",,
,"Danny Drinkwater
MIDFIELDER","£5,200,000.00",,
,Danny Ings FORWARD,"£3,900,000.00",,
,"Danny Rose
DEFENDER","£3,120,000.00",,
,"Danny Simpson
DEFENDER","£2,340,000.00",,
,"Danny Ward
FORWARD","£960,000.00",,
,"Danny Ward
GOALKEEPER","£1,040,000.00",,
,"Danny Welbeck
FORWARD","£6,500,000.00",,
,"Darren Fletcher
MIDFIELDER","£2,860,000.00",,
,"Daryl Janmaat
DEFENDER","£2,340,000.00",,
,"David Button
GOALKEEPER","£833,333.00",,
,"David De Gea
GOALKEEPER","£10,400,000.00",,
,"David Luiz
DEFENDER","£6,240,000.00",,
,"David Silva
MIDFIELDER","£8,320,000.00",,
,"Davide Zappacosta
DEFENDER","£3,640,000.00",,
,"Davinson Sanchez
DEFENDER","£3,380,000.00",,
,"Davy Propper
MIDFIELDER","£2,340,000.00",,
,"Deandre Yedlin
DEFENDER","£1,560,000.00",,
,"Declan Rice
MIDFIELDER","£156,000.00",,
,"Dejan Lovren
DEFENDER","£5,200,000.00",,
,"Dele Alli
MIDFIELDER","£5,200,000.00",,
,"Demarai Gray
FORWARD","£2,860,000.00",,
,"Denis Odoi
DEFENDER","£462,800.00",,
,"Dennis Srbeny
FORWARD","£208,000.00",,
,"Diogo Dalot
MIDFIELDER","£1,300,000.00",,
,"Diogo Jota
FORWARD","£2,860,000.00",,
,"Divock Origi
FORWARD","£1,456,000.00",,
,"Dominic Calvert-Lewin
FORWARD","£1,040,000.00",,
,"Dominic Iorfa
DEFENDER","£416,000.00",,
,"Dominic Solanke 
FORWARD","£1,300,000.00",,
,"Eden Hazard
MIDFIELDER","£11,700,000.00",,
,"Ederson Moraes
GOALKEEPER","£3,380,000.00",,
,"Eldin Jakupovic
GOALKEEPER","£1,196,000.00",,
,"Eliaquim Mangala
DEFENDER","£5,200,000.00",,
,"Elias Kachunga
FORWARD","£1,300,000.00",,
,"Emerson Palmieri
DEFENDER","£1,965,600.00",,
,"Emiliano Martinez
GOALKEEPER","£1,126,667.00",,
,"Enda Stevens
DEFENDER","£208,000.00",,
,"Eric Bailly
DEFENDER","£4,160,000.00",,
,"Eric Dier
MIDFIELDER","£3,120,000.00",,
,"Eric Maxim Choupo-Moting
MIDFIELDER","£3,380,000.00",,
,"Erik Durm
DEFENDER","£1,820,000.00",,
,"Erik Lamela
MIDFIELDER","£4,160,000.00",,
,"Erik Pieters
DEFENDER","£1,976,000.00",,
,"Ethan Ampadu
MIDFIELDER","£390,000.00",,
,"Ethan Ebanks-Landell
DEFENDER","£156,000.00",,
,"Etienne Capoue
MIDFIELDER","£2,080,000.00",,
