,age,birthday,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,annual_salary,Forward,Goalkeeper,Midfielder,Arsenal,Brighton & Hove Albion,Burnley,Cardiff City,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield Town,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Southampton,Tottenham Hotspur,Watford,West Ham United,Wolverhampton Wanderers
221,0,0,18,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,0.0,-1,-1,-1,28,2206829.2888788464,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,24,812073600,90,0,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,90,90,0,0,0.0,-1,-1,-1,16,2206829.2888788464,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
276,21,909705600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
273,22,879552000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,21,933897600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,24,816912000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
382,18,1001894400,115,105,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.57,58,38,0,0,0.0,-1,-1,-1,27,2206829.2888788464,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
332,20,935798400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,19,984441600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
397,21,915408000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2206829.2888788464,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,19,984182400,73,49,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.23,73,37,0,0,0.0,-1,-1,-1,18,2206829.2888788464,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
404,20,962841600,134,64,70,6,1,0,1,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1.34,0.67,0.67,0.0,1.29,134,1.34,67,22,134,134,0.67,-1,-1,-1,16,2206829.2888788464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,30,638928000,2822,1530,1292,34,17,14,2,0,2,7,2,5,0,0,7,5,2,44,22,22,5,0,0.29,0.22,0.06,0.0,0.14,1411,1.4,64,83,564,403,0.16,216,55,-1,8,2151858.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,36,433296000,2513,1383,1130,38,17,13,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2513,0.18,22,227,-1,1,2082444.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,26,748224000,2350,1214,1136,28,14,13,0,0,0,1,1,0,0,0,5,3,2,51,21,30,5,0,0.04,0.04,0.0,0.0,0.0,0,1.95,46,84,470,2350,0.19,316,218,158,26,2082444.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
362,37,401500800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2082444.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,28,695001600,1487,710,777,28,7,8,1,1,0,0,0,0,0,0,8,3,5,16,10,6,2,0,0.06,0.0,0.06,0.13,0.0,1487,0.97,93,53,744,0,0.12,207,271,-1,7,2082444.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
340,37,412473600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2082444.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,30,636595200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2082444.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,23,864345600,1060,493,567,16,5,7,0,0,0,0,0,0,0,0,11,8,3,3,0,3,2,0,0.0,0.0,0.0,0.0,0.0,0,0.25,353,66,530,0,0.17,407,398,1,19,2082444.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
117,29,667353600,1587,957,630,21,12,7,0,0,0,0,0,0,0,0,4,3,1,25,15,10,4,1,0.0,0.0,0.0,0.0,0.0,0,1.42,63,76,397,0,0.23,393,402,101,24,2082444.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,37,418176000,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,7,4,3,57,28,29,1,0,0.0,0.0,0.0,0.0,0.0,0,1.5,60,90,3420,0,0.03,365,353,116,18,2082444.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,27,736387200,2092,992,1100,30,13,13,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0.0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,175,373,-1,5,2082444.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
480,21,923616000,703,514,189,17,5,2,0,0,0,0,0,0,0,0,5,4,1,9,6,3,1,0,0.0,0.0,0.0,0.0,0.0,0,1.15,78,41,703,0,0.13,406,322,54,15,2082444.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
233,24,820972800,1037,461,576,30,3,6,1,1,0,1,0,1,0,0,5,3,2,20,8,12,4,0,0.17,0.09,0.09,0.2,0.0,1037,1.74,52,35,259,1037,0.35,170,153,-1,10,2082444.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,31,605318400,93,13,80,5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.97,93,19,93,0,0.97,-1,-1,-1,21,2082444.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,31,613612800,2487,1191,1296,30,14,15,1,0,1,1,0,1,0,0,5,3,2,43,18,25,7,1,0.07,0.04,0.04,0.0,0.07,2487,1.56,58,83,311,2487,0.29,247,224,-1,9,2082444.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,27,728611200,1422,725,697,27,8,8,5,4,1,2,1,1,1,0,6,2,4,27,19,8,0,0,0.44,0.13,0.32,0.5,0.13,284,1.71,53,53,0,711,0.0,57,115,-1,2,2082444.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,24,836524800,551,345,206,12,4,2,0,0,0,0,0,0,0,0,1,1,0,16,7,9,1,0,0.0,0.0,0.0,0.0,0.0,0,2.61,34,46,551,0,0.16,332,359,-1,26,2082444.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
298,36,457142400,2394,1224,1170,28,14,13,3,2,1,6,5,1,0,0,5,3,2,38,20,18,13,1,0.34,0.23,0.11,0.15,0.08,798,1.43,63,86,171,399,0.53,149,50,105,7,2082444.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
561,25,798076800,2436,1251,1185,32,16,15,2,1,1,4,2,2,0,0,5,3,2,39,19,20,5,0,0.22,0.15,0.07,0.07,0.08,1218,1.44,62,76,487,609,0.18,200,91,-1,8,2082444.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
441,30,644630400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2082444.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
516,26,774662400,2473,1153,1320,35,13,17,1,1,0,5,1,4,0,0,6,4,2,39,13,26,1,0,0.22,0.18,0.04,0.08,0.0,2473,1.42,63,71,2473,495,0.04,243,82,-1,11,2082444.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,24,820454400,595,521,74,15,5,1,1,1,0,1,1,0,0,0,1,1,0,10,7,3,5,0,0.3,0.15,0.15,0.17,0.0,595,1.51,60,40,119,595,0.76,118,93,-1,16,2082444.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
521,34,493344000,230,74,156,3,1,2,0,0,0,0,0,0,0,0,1,0,1,6,3,3,1,0,0.0,0.0,0.0,0.0,0.0,0,2.35,38,77,230,0,0.39,-1,-1,-1,20,1943614.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,26,757468800,1003,463,540,14,5,6,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0.0,0.0,0.0,0,1.7,53,72,201,1003,0.45,397,154,143,20,1943614.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,25,798163200,366,176,190,12,2,2,3,2,1,1,0,1,0,0,7,4,3,2,0,2,0,0,0.98,0.25,0.74,1.02,0.47,122,0.49,183,31,0,366,0.0,2,42,-1,7,1943614.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,26,750902400,683,331,352,23,3,3,3,2,1,1,0,1,0,0,5,4,1,10,7,3,1,0,0.53,0.13,0.4,0.54,0.26,228,1.32,68,30,683,683,0.13,34,118,-1,6,1935605.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
532,32,560390400,2051,943,1108,26,12,13,0,0,0,0,0,0,0,0,5,3,2,47,18,29,1,0,0.0,0.0,0.0,0.0,0.0,0,2.06,44,79,2051,0,0.04,266,317,167,12,1874199.5999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
463,23,853977600,75,30,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.2,75,19,0,0,0.0,-1,-1,-1,20,1874199.5999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
503,29,663292800,3040,1600,1440,34,18,16,1,0,1,3,2,1,0,0,9,4,5,57,34,23,6,0,0.12,0.09,0.03,0.0,0.06,3040,1.69,53,89,507,1013,0.18,255,165,140,8,1735370.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,29,655344000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1735370.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
538,22,899164800,975,520,455,16,5,5,0,0,0,0,0,0,0,0,5,3,2,18,12,6,3,0,0.0,0.0,0.0,0.0,0.0,0,1.66,54,61,325,0,0.28,416,380,-1,18,1735370.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
309,41,295833600,90,0,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,30,90,0,0,0.0,-1,-1,-1,15,1735370.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
304,25,793584000,1825,1123,702,29,14,8,3,2,1,2,1,1,0,0,7,4,3,27,20,7,2,0,0.25,0.1,0.15,0.16,0.13,608,1.33,68,63,913,913,0.1,124,150,-1,6,1735370.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,30,624067200,2251,1171,1080,26,13,12,0,0,0,1,1,0,0,0,4,3,1,50,23,27,5,0,0.04,0.04,0.0,0.0,0.0,0,2.0,45,87,450,2251,0.2,314,219,162,23,1735370.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,30,641347200,3262,1642,1620,37,19,18,1,0,1,0,0,0,0,0,5,3,2,69,30,39,6,1,0.03,0.0,0.03,0.0,0.06,3262,1.9,47,88,544,0,0.17,252,345,157,9,1735370.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,28,703900800,1181,611,570,20,7,6,0,0,0,0,0,0,0,0,2,1,1,28,14,14,2,0,0.0,0.0,0.0,0.0,0.0,0,2.13,42,59,591,0,0.15,306,261,-1,12,1735370.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
395,31,613353600,1748,810,938,21,9,10,0,0,0,0,0,0,0,0,4,2,2,35,16,19,7,0,0.0,0.0,0.0,0.0,0.0,0,1.8,50,83,250,0,0.36,378,342,150,22,1735370.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,32,578534400,934,494,440,18,5,4,1,0,1,1,1,0,0,0,5,3,2,15,8,7,4,0,0.19,0.1,0.1,0.0,0.2,934,1.45,62,52,234,934,0.39,157,144,-1,8,1735370.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,25,793584000,300,167,133,9,2,1,0,0,0,1,0,1,0,0,1,0,1,7,3,4,0,0,0.3,0.3,0.0,0.0,0.0,0,2.1,43,33,0,300,0.0,301,21,-1,17,1735370.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
380,30,641174400,1110,660,450,13,7,5,0,0,0,0,0,0,0,0,3,2,1,18,11,7,2,0,0.0,0.0,0.0,0.0,0.0,0,1.46,62,85,555,0,0.16,326,350,110,18,1735370.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
570,23,841363200,1769,747,1022,28,7,10,0,0,0,0,0,0,0,0,5,4,1,30,14,16,5,0,0.0,0.0,0.0,0.0,0.0,0,1.53,59,63,354,0,0.25,402,335,-1,17,1735370.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,35,488764800,1672,900,772,19,10,9,0,0,0,0,0,0,0,0,4,3,1,22,11,11,9,0,0.0,0.0,0.0,0.0,0.0,0,1.18,76,88,186,0,0.48,383,355,62,17,1735370.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,26,748310400,3240,1636,1604,38,18,17,0,0,0,1,1,0,0,0,8,5,3,53,24,29,2,0,0.03,0.03,0.0,0.0,0.0,0,1.47,61,85,1620,3240,0.06,381,239,111,19,1735370.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,23,845942400,407,270,137,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0.0,0.0,0.0,0.0,0.0,0,1.99,45,81,407,0,0.22,414,390,160,16,1735370.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
469,24,811555200,807,501,306,10,5,4,0,0,0,0,0,0,0,0,2,2,0,10,5,5,1,0,0.0,0.0,0.0,0.0,0.0,0,1.12,81,81,807,0,0.11,389,411,47,24,1735370.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,24,823737600,1344,611,733,25,6,8,1,0,1,1,1,0,0,1,8,3,5,17,9,8,1,0,0.13,0.07,0.07,0.0,0.12,1344,1.14,79,54,1344,1344,0.07,191,184,-1,9,1735370.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
277,26,750470400,1959,847,1112,28,9,13,0,0,0,0,0,0,0,1,8,5,3,35,17,18,5,1,0.0,0.0,0.0,0.0,0.0,0,1.61,56,70,327,0,0.28,336,383,-1,22,1701997.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,32,585014400,3375,1710,1665,38,19,18,0,0,0,1,1,0,0,0,10,5,5,59,34,25,0,0,0.03,0.03,0.0,0.0,0.0,0,1.57,57,89,0,3375,0.0,337,242,126,24,1665955.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,31,602726400,3099,1561,1538,36,18,17,3,1,2,0,0,0,0,0,6,3,3,52,28,24,2,0,0.09,0.0,0.09,0.06,0.12,1033,1.51,60,86,1550,0,0.06,181,400,119,6,1601880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
286,31,597369600,2377,1294,1083,29,16,13,0,0,0,1,1,0,0,0,5,3,2,42,23,19,9,1,0.04,0.04,0.0,0.0,0.0,0,1.59,57,82,238,2377,0.38,330,231,-1,28,1596540.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
368,25,804643200,84,0,84,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,2.14,42,42,0,0,0.0,-1,-1,-1,15,1596540.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,26,775612800,1840,1011,829,24,11,8,0,0,0,0,0,0,0,0,4,2,2,34,15,19,1,0,0.0,0.0,0.0,0.0,0.0,0,1.66,54,77,1840,0,0.05,329,376,135,29,1596540.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
329,22,881798400,150,46,104,4,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.6,150,38,150,0,0.6,-1,-1,-1,19,1590756.2783,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,25,782006400,1996,1024,972,27,11,10,4,3,1,1,0,1,0,0,7,5,2,37,18,19,4,0,0.23,0.05,0.18,0.26,0.09,499,1.67,54,74,499,1996,0.18,109,202,137,3,1561833.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,25,795830400,1886,904,982,25,10,11,1,0,1,4,4,0,0,0,7,3,4,25,12,13,4,1,0.24,0.19,0.05,0.0,0.09,1886,1.19,75,75,377,472,0.24,219,70,-1,10,1527125.5999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
326,31,594604800,842,399,443,15,5,5,0,0,0,0,0,0,0,0,0,0,0,25,12,13,6,1,0.0,0.0,0.0,0.0,0.0,0,2.67,34,56,140,0,0.64,317,410,-1,25,1527125.5999999999,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
